symbol,name,last,change,changePct
PAYC,Paycom Software Inc. Common Stock,327.22,21.21,6.931
PBA,Pembina Pipeline Corp. Ordinary Shares (Canada),35.90,0.33,0.928
PBR,Petroleo Brasileiro S.A.- Petrobras Common Stock,13.26,0.19,1.454
PCG,Pacific Gas & Electric Co. Common Stock,12.00,0.50,4.348
PEAK,Healthpeak Properties Inc. Common Stock,33.14,0.49,1.501
PEG,Public Service Enterprise Group Incorporated Common Stock,67.71,0.18,0.267
PGR,Progressive Corporation (The) Common Stock,106.14,-1.17,-1.09
PH,Parker-Hannifin Corporation Common Stock,285.91,6.77,2.425
PHG,Koninklijke Philips N.V. NY Registry Shares,32.11,0.89,2.851
PHM,PulteGroup Inc. Common Stock,46.61,0.16,0.344
PINS,Pinterest Inc. Class A Common Stock,24.31,1.57,6.904
PKG,Packaging Corporation of America Common Stock,155.34,2.99,1.963
PKI,PerkinElmer Inc. Common Stock,176.10,7.22,4.275
PKX,POSCO Holdings Inc. American Depositary Shares (Each representing 1/4th of a share of Common Stock),59.00,2.00,3.509
PLD,Prologis Inc. Common Stock,154.57,2.73,1.798
PLTR,Palantir Technologies Inc. Class A Common Stock,11.79,1.02,9.471
PM,Philip Morris International Inc Common Stock,93.77,1.11,1.198
PNC,PNC Financial Services Group Inc. (The) Common Stock,192.39,7.15,3.86
PPG,PPG Industries Inc. Common Stock,127.87,4.50,3.648
PPL,PPL Corporation Common Stock,26.62,0.12,0.453
PRU,Prudential Financial Inc. Common Stock,113.96,4.17,3.798
PSA,Public Storage Common Stock,357.72,2.58,0.726
PSX,Phillips 66 Common Stock,76.50,1.16,1.54
PTR,PetroChina Company Limited Common Stock,46.49,1.73,3.865
PUK,Prudential Public Limited Company Common Stock,28.25,1.64,6.163
PWR,Quanta Services Inc. Common Stock,122.84,1.17,0.962
PXD,Pioneer Natural Resources Company Common Stock,230.31,2.52,1.106
QGEN,Qiagen N.V. Common Shares ,47.09,1.89,4.181
QSR,Restaurant Brands International Inc. Common Shares,57.39,1.04,1.846
RACE,Ferrari N.V. Common Shares,208.90,13.70,7.018
RBLX,Roblox Corporation Class A Common Stock,41.51,3.64,9.612
RCI,Rogers Communication Inc. Common Stock,53.43,-0.06,-0.112
RCL,D/B/A Royal Caribbean Cruises Ltd. Common Stock,74.55,3.85,5.446
RE,Everest Re Group Ltd. Common Stock,283.40,4.64,1.665
RELX,RELX PLC PLC American Depositary Shares (Each representing One Ordinary Share),29.49,0.95,3.329
REXR,Rexford Industrial Realty Inc. Common Stock,71.20,0.45,0.636
RF,Regions Financial Corporation Common Stock,23.54,0.75,3.291
